datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
02/01/2024 02:15 - 02/01/2024 02:30,811.8,3201.9,2495,0,2450,3200,1518,2296.8,3305.42,1956,0,2470.73,3184,2179
02/01/2024 02:30 - 02/01/2024 02:45,811.8,3201.9,2495,0,2450,3200,1518,2296.8,3305.42,1956,0,2470.73,3184,2179
02/01/2024 02:45 - 02/01/2024 03:00,811.8,3201.9,2495,0,2450,3200,1518,2296.8,3305.42,1956,0,2470.73,3184,2179
02/01/2024 03:00 - 02/01/2024 03:15,824.75,3653.4,2380,0,2450,3200,1746,2259.28,3067.53,1956,0,2488.18,3184,2102
02/01/2024 03:15 - 02/01/2024 03:30,824.75,3653.4,2380,0,2450,3200,1746,2259.28,3067.53,1956,0,2488.18,3184,2102
02/01/2024 03:30 - 02/01/2024 03:45,824.75,3653.4,2380,0,2450,3200,1746,2259.28,3067.53,1956,0,2488.18,3184,2102
02/01/2024 03:45 - 02/01/2024 04:00,824.75,3653.4,2380,0,2450,3200,1746,2259.28,3067.53,1956,0,2488.18,3184,2102
02/01/2024 04:00 - 02/01/2024 04:15,952.25,3955.1,2438,0,2775,3200,1828,2075.86,3136.51,1956,0,2708.59,3184,2102
02/01/2024 04:15 - 02/01/2024 04:30,952.25,3955.1,2438,0,2775,3200,1828,2075.86,3136.51,1956,0,2708.59,3184,2102
02/01/2024 04:30 - 02/01/2024 04:45,952.25,3955.1,2438,0,2775,3200,1828,2075.86,3136.51,1956,0,2708.59,3184,2102
